"P6040";"P6020";"P6175";"P1158S1";"DIA_REFERENCIA_2";"P1161S1A1";"P1161S1A2"
"229";6;"Masculino";"Público";"Preescolar";"Miércoles";2;0
"230";12;"Femenino";"Público";"Secundaria o Media";"Festivo";1;0
"231";6;"Femenino";"Público";"Primaria";"Festivo";1;0
"232";8;"Femenino";"Privado";"Primaria";"Miércoles";3;0
"233";6;"Femenino";"Privado";"Primaria";"Miércoles";3;0
"234";14;"Masculino";"Privado";"Secundaria o Media";"Festivo";2;0
"235";7;"Masculino";"Público";"Primaria";"Domingo";0;30
"236";29;"Femenino";"Público";"Tecnológico";"Festivo";6;0
"237";20;"Femenino";"Público";"Técnico";"Festivo";2;0
"238";14;"Femenino";"Privado";"Secundaria o Media";"Domingo";1;0
"239";8;"Masculino";"Privado";"Primaria";"Domingo";1;0
"240";17;"Femenino";"Público";"Secundaria o Media";"Lunes";5;0
"241";16;"Femenino";"Público";"Secundaria o Media";"Lunes";4;0
"242";14;"Masculino";"Público";"Secundaria o Media";"Lunes";3;0
"243";11;"Femenino";"Público";"Primaria";"Lunes";4;0
"244";10;"Femenino";"Público";"Primaria";"Lunes";1;0
"245";8;"Femenino";"Público";"Primaria";"Lunes";1;0
"246";10;"Masculino";"Privado";"Primaria";"Jueves";2;0
"247";12;"Masculino";"Privado";"Secundaria o Media";"Domingo";2;0
"248";8;"Masculino";"Privado";"Primaria";"Domingo";3;30
"249";15;"Masculino";"Privado";"Secundaria o Media";"Festivo";1;15
"250";18;"Masculino";"Privado";"Universitario";"Miércoles";1;0
"251";12;"Masculino";"Privado";"Secundaria o Media";"Lunes";2;30
"252";15;"Masculino";"Privado";"Secundaria o Media";"Miércoles";3;0
"253";31;"Femenino";"Privado";"Tecnológico";"Viernes";2;0
"254";11;"Masculino";"Público";"Secundaria o Media";"Viernes";3;0
"255";5;"Masculino";"Público";"Preescolar";"Viernes";1;0
"256";5;"Femenino";"Público";"Preescolar";"Domingo";0;30
"257";9;"Masculino";"Público";"Primaria";"Domingo";0;10
"258";17;"Masculino";"Público";"Secundaria o Media";"Lunes";3;0
"259";13;"Femenino";"Público";"Secundaria o Media";"Lunes";3;0
"260";9;"Masculino";"Público";"Primaria";"Miércoles";2;0
"261";6;"Masculino";"Público";"Primaria";"Miércoles";2;0
"262";23;"Masculino";"Privado";"Universitario";"Jueves";1;0
"263";11;"Femenino";"Privado";"Primaria";"Viernes";2;0
"264";7;"Femenino";"Privado";"Primaria";"Viernes";1;0
"265";16;"Masculino";"Público";"Secundaria o Media";"Viernes";1;0
"266";12;"Femenino";"Público";"Secundaria o Media";"Viernes";4;0
"267";16;"Femenino";"Público";"Secundaria o Media";"Viernes";1;0
"268";7;"Femenino";"Público";"Primaria";"Sábado";3;0
"269";16;"Femenino";"Público";"Secundaria o Media";"Domingo";2;0
"270";7;"Masculino";"Público";"Primaria";"Domingo";2;0
"271";7;"Masculino";"Público";"Primaria";"Domingo";2;0
"272";11;"Femenino";"Público";"Secundaria o Media";"Domingo";3;0
"273";9;"Femenino";"Público";"Primaria";"Domingo";2;0
"274";11;"Femenino";"Público";"Secundaria o Media";"Domingo";3;0
"275";6;"Masculino";"Público";"Preescolar";"Domingo";3;0
"276";34;"Femenino";"Público";"Secundaria o Media";"Domingo";2;0
"277";9;"Femenino";"Público";"Primaria";"Domingo";3;0
"278";32;"Masculino";"Público";"Primaria";"Lunes";1;0
"279";8;"Masculino";"Público";"Primaria";"Lunes";0;30
"280";6;"Femenino";"Público";"Primaria";"Lunes";0;30
"281";13;"Masculino";"Privado";"Primaria";"Domingo";1;0
"282";5;"Masculino";"Público";"Preescolar";"Domingo";0;30
"283";21;"Femenino";"Privado";"Universitario";"Viernes";1;0
"284";15;"Femenino";"Público";"Secundaria o Media";"Lunes";3;0
"285";7;"Femenino";"Público";"Primaria";"Lunes";1;0
"286";18;"Masculino";"Público";"Secundaria o Media";"Martes";1;0
"287";9;"Femenino";"Público";"Primaria";"Martes";2;0
"288";14;"Femenino";"Público";"Secundaria o Media";"Jueves";2;0
"289";11;"Masculino";"Público";"Primaria";"Jueves";2;0
"290";9;"Femenino";"Público";"Primaria";"Jueves";1;0
"291";18;"Femenino";"Público";"Secundaria o Media";"Viernes";1;0
"292";15;"Femenino";"Público";"Secundaria o Media";"Sábado";3;0
"293";7;"Femenino";"Público";"Primaria";"Sábado";2;0
"294";7;"Femenino";"Público";"Preescolar";"Domingo";1;0
"295";5;"Femenino";"Público";"Preescolar";"Domingo";1;0
"296";31;"Femenino";"Público";"Universitario";"Lunes";1;0
"297";14;"Masculino";"Público";"Secundaria o Media";"Jueves";1;0
"298";24;"Masculino";"Público";"Universitario";"Viernes";1;0
"299";13;"Femenino";"Privado";"Secundaria o Media";"Miércoles";1;0
"300";10;"Masculino";"Privado";"Secundaria o Media";"Miércoles";2;0
"301";8;"Masculino";"Privado";"Primaria";"Miércoles";2;0
"302";14;"Masculino";"Privado";"Secundaria o Media";"Jueves";2;0
"303";12;"Femenino";"Privado";"Secundaria o Media";"Jueves";2;0
"304";9;"Femenino";"Público";"Primaria";"Viernes";2;0
"305";6;"Masculino";"Público";"Primaria";"Viernes";1;0
"306";17;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"307";9;"Masculino";"Público";"Primaria";"Jueves";1;0
"308";8;"Masculino";"Público";"Primaria";"Jueves";1;0
