"P6040";"P6020";"P6175";"P1158S1";"DIA_REFERENCIA_2";"P1161S1A1";"P1161S1A2"
"9798";16;"Femenino";"Público";"Secundaria o Media";"Lunes";0;15
"9799";9;"Femenino";"Público";"Primaria";"Lunes";0;10
"9800";15;"Femenino";"Público";"Secundaria o Media";"Lunes";4;0
"9801";13;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"9802";7;"Femenino";"Público";"Primaria";"Lunes";2;0
"9803";17;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"9804";15;"Femenino";"Público";"Secundaria o Media";"Miércoles";1;0
"9805";14;"Femenino";"Público";"Secundaria o Media";"Miércoles";1;0
"9806";14;"Femenino";"Público";"Secundaria o Media";"Miércoles";0;30
"9807";16;"Masculino";"Público";"Secundaria o Media";"Jueves";0;30
"9808";11;"Masculino";"Público";"Secundaria o Media";"Jueves";0;50
"9809";11;"Masculino";"Público";"Primaria";"Jueves";1;0
"9810";10;"Masculino";"Público";"Primaria";"Martes";0;30
"9811";12;"Masculino";"Público";"Primaria";"Lunes";0;15
"9812";6;"Masculino";"Público";"Primaria";"Lunes";0;30
"9813";15;"Femenino";"Público";"Secundaria o Media";"Martes";1;0
"9814";12;"Masculino";"Público";"Secundaria o Media";"Martes";1;0
"9815";5;"Femenino";"Público";"Preescolar";"Jueves";0;30
"9816";15;"Masculino";"Público";"Secundaria o Media";"Viernes";1;30
"9817";12;"Masculino";"Público";"Secundaria o Media";"Viernes";0;30
"9818";6;"Femenino";"Público";"Preescolar";"Viernes";0;30
"9819";10;"Femenino";"Público";"Primaria";"Miércoles";1;0
"9820";10;"Femenino";"Público";"Primaria";"Lunes";1;0
"9821";7;"Femenino";"Público";"Primaria";"Lunes";1;0
"9822";5;"Masculino";"Público";"Preescolar";"Lunes";2;0
"9823";8;"Femenino";"Público";"Primaria";"Lunes";1;0
"9824";12;"Femenino";"Público";"Primaria";"Martes";3;0
"9825";10;"Femenino";"Público";"Primaria";"Martes";3;0
"9826";10;"Femenino";"Público";"Primaria";"Viernes";1;0
"9827";9;"Femenino";"Público";"Primaria";"Domingo";1;0
"9828";8;"Femenino";"Público";"Primaria";"Domingo";1;0
"9829";6;"Femenino";"Público";"Primaria";"Domingo";1;0
"9830";13;"Masculino";"Público";"Secundaria o Media";"Viernes";2;0
"9831";15;"Masculino";"Público";"Secundaria o Media";"Viernes";1;0
"9832";9;"Masculino";"Público";"Primaria";"Viernes";1;30
"9833";13;"Femenino";"Público";"Secundaria o Media";"Sábado";0;30
"9834";10;"Femenino";"Público";"Primaria";"Sábado";1;0
"9835";6;"Femenino";"Público";"Preescolar";"Jueves";0;20
"9836";15;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"9837";12;"Masculino";"Público";"Primaria";"Lunes";1;30
"9838";11;"Masculino";"Público";"Secundaria o Media";"Martes";0;20
"9839";14;"Femenino";"Público";"Secundaria o Media";"Viernes";2;0
"9840";13;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"9841";15;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"9842";13;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"9843";5;"Femenino";"Privado";"Preescolar";"Lunes";1;0
"9844";7;"Masculino";"Público";"Primaria";"Domingo";0;30
"9845";15;"Masculino";"Público";"Secundaria o Media";"Sábado";0;30
"9846";12;"Masculino";"Público";"Secundaria o Media";"Sábado";0;30
"9847";14;"Masculino";"Público";"Secundaria o Media";"Domingo";2;0
"9848";7;"Femenino";"Público";"Primaria";"Lunes";0;15
"9849";15;"Femenino";"Público";"Secundaria o Media";"Martes";1;30
"9850";34;"Femenino";"Privado";"Universitario";"Lunes";3;30
"9851";14;"Femenino";"Público";"Secundaria o Media";"Lunes";3;0
"9852";10;"Masculino";"Público";"Secundaria o Media";"Martes";1;30
"9853";14;"Femenino";"Público";"Secundaria o Media";"Martes";2;0
"9854";10;"Femenino";"Público";"Primaria";"Martes";1;0
"9855";5;"Femenino";"Público";"Primaria";"Martes";1;0
"9856";8;"Masculino";"Público";"Primaria";"Miércoles";2;0
"9857";7;"Femenino";"Público";"Primaria";"Miércoles";1;0
"9858";22;"Femenino";"Privado";"Universitario";"Lunes";4;0
"9859";17;"Femenino";"Privado";"Universitario";"Lunes";4;0
"9860";23;"Masculino";"Privado";"Tecnológico";"Lunes";5;0
"9861";12;"Masculino";"Privado";"Primaria";"Miércoles";2;30
"9862";20;"Femenino";"Privado";"Universitario";"Lunes";2;0
"9863";16;"Femenino";"Privado";"Secundaria o Media";"Lunes";3;0
"9864";14;"Femenino";"Privado";"Secundaria o Media";"Lunes";2;0
"9865";6;"Femenino";"Privado";"Preescolar";"Lunes";1;0
"9866";8;"Femenino";"Privado";"Primaria";"Miércoles";1;0
"9867";16;"Femenino";"Público";"Secundaria o Media";"Jueves";2;0
"9868";18;"Femenino";"Privado";"Universitario";"Lunes";3;0
"9869";15;"Femenino";"Privado";"Secundaria o Media";"Martes";2;0
"9870";13;"Masculino";"Público";"Secundaria o Media";"Viernes";1;0
"9871";11;"Femenino";"Público";"Secundaria o Media";"Viernes";0;30
"9872";17;"Masculino";"Público";"Secundaria o Media";"Martes";1;0
"9873";13;"Masculino";"Público";"Primaria";"Martes";1;0
"9874";8;"Femenino";"Público";"Primaria";"Martes";1;0
"9875";25;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"9876";9;"Femenino";"Público";"Primaria";"Miércoles";2;0
"9877";16;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"9878";14;"Masculino";"Público";"Secundaria o Media";"Jueves";0;20
"9879";15;"Femenino";"Público";"Secundaria o Media";"Viernes";5;0
"9880";23;"Femenino";"Privado";"Universitario";"Lunes";4;0
"9881";9;"Femenino";"Público";"Primaria";"Miércoles";1;0
"9882";6;"Femenino";"Público";"Primaria";"Jueves";2;0
"9883";8;"Masculino";"Público";"Primaria";"Jueves";2;0
"9884";7;"Masculino";"Público";"Primaria";"Viernes";2;0
"9885";15;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"9886";33;"Masculino";"Privado";"Universitario";"Sábado";2;0
"9887";10;"Masculino";"Público";"Secundaria o Media";"Viernes";0;30
"9888";19;"Masculino";"Privado";"Universitario";"Lunes";0;30
"9889";19;"Femenino";"Privado";"Universitario";"Martes";3;0
"9890";6;"Masculino";"Público";"Primaria";"Martes";1;0
"9891";18;"Femenino";"Privado";"Universitario";"Miércoles";4;0
"9892";15;"Femenino";"Público";"Secundaria o Media";"Sábado";2;0
"9893";11;"Femenino";"Público";"Secundaria o Media";"Sábado";2;0
"9894";22;"Femenino";"Público";"Universitario";"Miércoles";0;45
"9895";7;"Femenino";"Privado";"Primaria";"Lunes";1;30
"9896";25;"Masculino";"Público";"Universitario";"Jueves";3;0
"9897";8;"Femenino";"Público";"Primaria";"Sábado";3;0
"9898";6;"Femenino";"Público";"Primaria";"Lunes";1;0
"9899";13;"Masculino";"Público";"Secundaria o Media";"Martes";2;0
"9900";6;"Femenino";"Público";"Primaria";"Martes";1;0
"9901";16;"Femenino";"Público";"Secundaria o Media";"Sábado";1;0
"9902";25;"Femenino";"Público";"Universitario";"Jueves";6;0
"9903";16;"Masculino";"Público";"Secundaria o Media";"Sábado";1;0
"9904";9;"Masculino";"Público";"Primaria";"Viernes";0;30
"9905";6;"Masculino";"Público";"Primaria";"Domingo";0;30
"9906";7;"Masculino";"Público";"Primaria";"Martes";2;0
"9907";28;"Masculino";"Privado";"Universitario";"Lunes";3;0
"9908";20;"Masculino";"Privado";"Universitario";"Martes";3;0
"9909";21;"Masculino";"Privado";"Universitario";"Martes";2;30
"9910";22;"Femenino";"Privado";"Universitario";"Martes";10;0
"9911";18;"Femenino";"Privado";"Universitario";"Martes";6;0
"9912";18;"Femenino";"Privado";"Universitario";"Martes";4;0
"9913";17;"Masculino";"Privado";"Universitario";"Martes";1;30
"9914";9;"Femenino";"Público";"Primaria";"Miércoles";1;0
"9915";11;"Masculino";"Público";"Secundaria o Media";"Miércoles";1;0
"9916";15;"Masculino";"Público";"Secundaria o Media";"Martes";1;0
"9917";16;"Masculino";"Público";"Secundaria o Media";"Martes";4;0
"9918";17;"Masculino";"Público";"Secundaria o Media";"Martes";3;0
"9919";20;"Femenino";"Privado";"Universitario";"Miércoles";3;0
"9920";11;"Masculino";"Público";"Secundaria o Media";"Miércoles";5;0
"9921";16;"Masculino";"Público";"Secundaria o Media";"Domingo";2;0
"9922";19;"Femenino";"Público";"Tecnológico";"Lunes";3;0
"9923";14;"Femenino";"Público";"Secundaria o Media";"Lunes";4;0
"9924";7;"Masculino";"Público";"Primaria";"Miércoles";2;0
"9925";18;"Femenino";"Público";"Secundaria o Media";"Lunes";4;0
"9926";7;"Masculino";"Público";"Primaria";"Domingo";0;30
"9927";10;"Masculino";"Público";"Primaria";"Domingo";1;30
"9928";10;"Masculino";"Público";"Primaria";"Lunes";1;0
"9929";7;"Femenino";"Público";"Primaria";"Lunes";1;30
"9930";18;"Femenino";"Público";"Universitario";"Lunes";6;0
"9931";12;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"9932";8;"Masculino";"Público";"Primaria";"Martes";2;0
"9933";12;"Femenino";"Público";"Secundaria o Media";"Domingo";0;30
"9934";5;"Masculino";"Público";"Preescolar";"Domingo";1;0
"9935";19;"Femenino";"Público";"Técnico";"Lunes";1;0
"9936";24;"Masculino";"Público";"Tecnológico";"Miércoles";6;0
"9937";22;"Femenino";"Público";"Tecnológico";"Miércoles";6;0
"9938";6;"Femenino";"Público";"Primaria";"Jueves";1;0
"9939";7;"Masculino";"Público";"Primaria";"Jueves";2;0
"9940";31;"Masculino";"Público";"Universitario";"Jueves";1;30
"9941";50;"Femenino";"Público";"Universitario";"Jueves";2;0
"9942";9;"Femenino";"Público";"Primaria";"Jueves";1;0
"9943";7;"Femenino";"Público";"Primaria";"Jueves";1;0
"9944";7;"Femenino";"Público";"Primaria";"Jueves";1;0
"9945";12;"Femenino";"Público";"Secundaria o Media";"Domingo";3;0
"9946";9;"Femenino";"Público";"Primaria";"Domingo";2;0
"9947";20;"Masculino";"Privado";"Universitario";"Jueves";4;0
"9948";8;"Masculino";"Público";"Primaria";"Domingo";0;30
"9949";5;"Masculino";"Público";"Preescolar";"Domingo";0;10
"9950";6;"Femenino";"Público";"Preescolar";"Domingo";2;0
"9951";17;"Masculino";"Público";"Secundaria o Media";"Lunes";3;0
"9952";9;"Femenino";"Público";"Primaria";"Miércoles";3;0
"9953";8;"Femenino";"Público";"Primaria";"Miércoles";2;0
"9954";11;"Femenino";"Público";"Secundaria o Media";"Martes";2;0
"9955";16;"Femenino";"Público";"Secundaria o Media";"Miércoles";1;0
"9956";20;"Masculino";"Público";"Tecnológico";"Jueves";1;0
"9957";13;"Femenino";"Público";"Secundaria o Media";"Sábado";1;30
"9958";9;"Femenino";"Público";"Primaria";"Sábado";2;0
"9959";9;"Masculino";"Público";"Primaria";"Sábado";2;0
"9960";20;"Masculino";"Público";"Universitario";"Miércoles";1;0
"9961";11;"Masculino";"Público";"Primaria";"Miércoles";1;0
"9962";8;"Masculino";"Público";"Primaria";"Miércoles";1;0
"9963";9;"Masculino";"Público";"Primaria";"Lunes";2;0
"9964";11;"Masculino";"Público";"Secundaria o Media";"Jueves";1;0
"9965";7;"Masculino";"Privado";"Primaria";"Jueves";1;0
"9966";10;"Masculino";"Público";"Primaria";"Domingo";0;30
"9967";9;"Femenino";"Público";"Primaria";"Domingo";0;30
"9968";9;"Masculino";"Privado";"Primaria";"Martes";1;30
"9969";21;"Femenino";"Privado";"Tecnológico";"Martes";1;0
"9970";16;"Masculino";"Público";"Secundaria o Media";"Miércoles";1;0
"9971";9;"Femenino";"Privado";"Primaria";"Domingo";1;0
"9972";15;"Masculino";"Público";"Secundaria o Media";"Martes";4;0
"9973";16;"Masculino";"Público";"Secundaria o Media";"Miércoles";1;0
"9974";6;"Femenino";"Público";"Primaria";"Miércoles";1;0
"9975";14;"Femenino";"Privado";"Secundaria o Media";"Miércoles";1;0
"9976";11;"Masculino";"Público";"Primaria";"Miércoles";1;0
"9977";10;"Femenino";"Público";"Primaria";"Miércoles";1;0
"9978";17;"Masculino";"Público";"Secundaria o Media";"Martes";0;40
"9979";9;"Femenino";"Público";"Primaria";"Martes";2;0
"9980";11;"Femenino";"Público";"Secundaria o Media";"Martes";3;0
"9981";11;"Masculino";"Público";"Primaria";"Miércoles";1;0
"9982";7;"Masculino";"Público";"Preescolar";"Miércoles";2;0
"9983";8;"Femenino";"Público";"Primaria";"Viernes";3;0
"9984";17;"Femenino";"Público";"Secundaria o Media";"Martes";3;0
"9985";12;"Femenino";"Público";"Primaria";"Martes";2;0
"9986";9;"Femenino";"Público";"Primaria";"Jueves";2;0
"9987";12;"Femenino";"Público";"Secundaria o Media";"Miércoles";5;0
"9988";11;"Femenino";"Público";"Primaria";"Miércoles";4;30
"9989";11;"Femenino";"Público";"Primaria";"Viernes";2;0
"9990";10;"Femenino";"Público";"Primaria";"Viernes";3;0
"9991";17;"Masculino";"Público";"Secundaria o Media";"Viernes";1;30
"9992";11;"Femenino";"Público";"Primaria";"Viernes";0;30
"9993";10;"Masculino";"Privado";"Primaria";"Sábado";3;0
"9994";13;"Masculino";"Público";"Secundaria o Media";"Sábado";1;30
"9995";9;"Femenino";"Público";"Primaria";"Sábado";0;30
"9996";6;"Masculino";"Público";"Primaria";"Miércoles";2;0
"9997";13;"Masculino";"Público";"Secundaria o Media";"Martes";3;0
"9998";6;"Femenino";"Privado";"Primaria";"Martes";3;0
"9999";13;"Masculino";"Público";"Secundaria o Media";"Viernes";1;0
"10000";19;"Femenino";"Público";"Secundaria o Media";"Viernes";2;0
"10001";5;"Masculino";"Público";"Primaria";"Viernes";1;0
"10002";13;"Femenino";"Público";"Secundaria o Media";"Lunes";2;0
"10003";17;"Femenino";"Público";"Universitario";"Lunes";4;0
"10004";5;"Femenino";"Privado";"Preescolar";"Miércoles";1;0
"10005";11;"Femenino";"Público";"Primaria";"Viernes";0;30
"10006";14;"Femenino";"Público";"Secundaria o Media";"Viernes";2;0
"10007";11;"Femenino";"Público";"Secundaria o Media";"Viernes";3;0
"10008";17;"Masculino";"Privado";"Universitario";"Domingo";3;0
"10009";13;"Femenino";"Público";"Secundaria o Media";"Domingo";1;30
"10010";5;"Masculino";"Público";"Preescolar";"Miércoles";0;30
"10011";40;"Masculino";"Público";"Universitario";"Jueves";5;0
"10012";31;"Femenino";"Privado";"Universitario";"Jueves";5;0
"10013";5;"Femenino";"Público";"Primaria";"Jueves";3;0
"10014";8;"Femenino";"Público";"Primaria";"Viernes";1;0
"10015";13;"Masculino";"Público";"Secundaria o Media";"Viernes";4;30
"10016";8;"Femenino";"Público";"Primaria";"Viernes";3;0
"10017";5;"Femenino";"Público";"Preescolar";"Viernes";3;0
"10018";11;"Femenino";"Público";"Secundaria o Media";"Sábado";6;0
"10019";7;"Femenino";"Público";"Primaria";"Sábado";5;0
"10020";6;"Femenino";"Público";"Primaria";"Domingo";2;0
"10021";11;"Femenino";"Público";"Secundaria o Media";"Domingo";3;0
"10022";7;"Masculino";"Público";"Primaria";"Lunes";2;0
"10023";5;"Femenino";"Público";"Primaria";"Lunes";3;0
"10024";14;"Femenino";"Público";"Secundaria o Media";"Martes";1;0
"10025";9;"Masculino";"Público";"Primaria";"Martes";2;0
"10026";16;"Masculino";"Privado";"Universitario";"Domingo";2;0
"10027";13;"Masculino";"Público";"Secundaria o Media";"Domingo";1;0
"10028";11;"Masculino";"Público";"Secundaria o Media";"Domingo";1;0
"10029";16;"Masculino";"Público";"Secundaria o Media";"Lunes";1;30
"10030";13;"Masculino";"Público";"Secundaria o Media";"Lunes";2;0
"10031";17;"Masculino";"Público";"Secundaria o Media";"Lunes";2;0
"10032";10;"Femenino";"Privado";"Primaria";"Martes";2;0
"10033";13;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"10034";10;"Masculino";"Privado";"Primaria";"Miércoles";3;30
"10035";12;"Masculino";"Público";"Primaria";"Jueves";1;0
"10036";16;"Femenino";"Público";"Secundaria o Media";"Jueves";2;0
"10037";12;"Femenino";"Público";"Secundaria o Media";"Jueves";0;30
"10038";7;"Masculino";"Público";"Primaria";"Jueves";1;15
"10039";13;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"10040";11;"Femenino";"Público";"Primaria";"Jueves";1;0
"10041";9;"Femenino";"Público";"Primaria";"Jueves";3;0
"10042";18;"Femenino";"Público";"Secundaria o Media";"Viernes";2;0
"10043";8;"Masculino";"Público";"Primaria";"Sábado";1;0
"10044";12;"Masculino";"Público";"Secundaria o Media";"Domingo";1;30
"10045";7;"Femenino";"Público";"Primaria";"Domingo";0;30
"10046";7;"Masculino";"Público";"Primaria";"Lunes";5;0
"10047";5;"Masculino";"Público";"Preescolar";"Martes";2;0
"10048";12;"Masculino";"Público";"Secundaria o Media";"Sábado";2;0
"10049";7;"Femenino";"Público";"Primaria";"Jueves";2;0
"10050";10;"Masculino";"Público";"Primaria";"Miércoles";1;0
"10051";5;"Femenino";"Público";"Preescolar";"Jueves";1;0
"10052";14;"Femenino";"Público";"Secundaria o Media";"Martes";3;0
"10053";12;"Masculino";"Público";"Primaria";"Martes";0;30
"10054";11;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"10055";13;"Masculino";"Público";"Secundaria o Media";"Domingo";2;0
"10056";13;"Femenino";"Público";"Secundaria o Media";"Lunes";2;0
"10057";10;"Femenino";"Público";"Primaria";"Lunes";2;0
"10058";10;"Masculino";"Público";"Primaria";"Lunes";2;0
"10059";8;"Masculino";"Público";"Primaria";"Miércoles";1;0
"10060";7;"Femenino";"Público";"Primaria";"Miércoles";1;0
"10061";10;"Femenino";"Público";"Primaria";"Domingo";3;0
"10062";11;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"10063";9;"Masculino";"Público";"Primaria";"Lunes";2;0
"10064";14;"Femenino";"Público";"Universitario";"Martes";6;0
"10065";12;"Femenino";"Público";"Secundaria o Media";"Martes";1;30
"10066";5;"Femenino";"Público";"Preescolar";"Miércoles";3;0
"10067";6;"Femenino";"Privado";"Preescolar";"Miércoles";4;0
"10068";8;"Masculino";"Privado";"Primaria";"Jueves";3;0
"10069";15;"Femenino";"Público";"Secundaria o Media";"Martes";4;0
"10070";13;"Femenino";"Público";"Secundaria o Media";"Martes";2;0
"10071";22;"Femenino";"Público";"Universitario";"Miércoles";2;0
"10072";11;"Femenino";"Público";"Secundaria o Media";"Domingo";1;0
"10073";12;"Femenino";"Público";"Secundaria o Media";"Domingo";1;0
"10074";16;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"10075";6;"Femenino";"Público";"Primaria";"Lunes";1;0
"10076";17;"Femenino";"Privado";"Universitario";"Viernes";5;0
"10077";7;"Femenino";"Privado";"Primaria";"Viernes";1;0
"10078";10;"Femenino";"Privado";"Secundaria o Media";"Viernes";1;0
"10079";14;"Femenino";"Público";"Secundaria o Media";"Martes";0;40
"10080";13;"Femenino";"Público";"Secundaria o Media";"Martes";1;0
"10081";9;"Femenino";"Público";"Primaria";"Miércoles";1;0
"10082";16;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"10083";17;"Masculino";"Privado";"Universitario";"Lunes";3;0
"10084";10;"Masculino";"Público";"Primaria";"Miércoles";0;10
"10085";6;"Femenino";"Privado";"Primaria";"Jueves";1;0
"10086";21;"Femenino";"Privado";"Universitario";"Sábado";1;0
"10087";11;"Masculino";"Público";"Primaria";"Domingo";2;0
"10088";9;"Masculino";"Público";"Primaria";"Domingo";2;0
"10089";5;"Masculino";"Privado";"Preescolar";"Domingo";2;0
"10090";20;"Femenino";"Privado";"Universitario";"Viernes";2;0
"10091";18;"Femenino";"Privado";"Universitario";"Viernes";2;0
"10092";13;"Femenino";"Público";"Secundaria o Media";"Martes";2;0
"10093";7;"Femenino";"Público";"Primaria";"Martes";1;0
"10094";14;"Femenino";"Público";"Secundaria o Media";"Martes";1;30
"10095";7;"Masculino";"Público";"Primaria";"Martes";1;0
"10096";13;"Femenino";"Público";"Secundaria o Media";"Martes";1;0
"10097";6;"Masculino";"Público";"Primaria";"Jueves";1;0
"10098";15;"Femenino";"Privado";"Secundaria o Media";"Sábado";2;0
"10099";8;"Masculino";"Privado";"Primaria";"Sábado";1;0
"10100";13;"Masculino";"Público";"Secundaria o Media";"Sábado";1;0
"10101";11;"Femenino";"Público";"Primaria";"Sábado";2;0
"10102";20;"Femenino";"Privado";"Universitario";"Lunes";3;0
"10103";10;"Masculino";"Privado";"Secundaria o Media";"Lunes";3;0
"10104";10;"Femenino";"Público";"Primaria";"Lunes";1;0
"10105";6;"Masculino";"Privado";"Primaria";"Viernes";2;0
"10106";24;"Femenino";"Público";"Universitario";"Viernes";2;0
"10107";18;"Femenino";"Público";"Universitario";"Viernes";2;0
"10108";15;"Masculino";"Privado";"Secundaria o Media";"Martes";2;0
"10109";14;"Femenino";"Privado";"Secundaria o Media";"Martes";1;0
"10110";13;"Masculino";"Privado";"Secundaria o Media";"Martes";2;30
"10111";15;"Masculino";"Público";"Secundaria o Media";"Miércoles";0;10
"10112";7;"Masculino";"Público";"Primaria";"Miércoles";1;30
"10113";5;"Femenino";"Público";"Preescolar";"Miércoles";1;20
"10114";12;"Femenino";"Privado";"Secundaria o Media";"Miércoles";4;0
"10115";13;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"10116";6;"Masculino";"Público";"Primaria";"Miércoles";1;0
"10117";7;"Femenino";"Privado";"Primaria";"Miércoles";2;0
"10118";20;"Femenino";"Privado";"Universitario";"Jueves";4;0
"10119";5;"Masculino";"Público";"Primaria";"Domingo";3;0
"10120";7;"Femenino";"Público";"Primaria";"Lunes";3;0
"10121";9;"Masculino";"Público";"Primaria";"Martes";2;0
"10122";6;"Masculino";"Público";"Primaria";"Miércoles";2;0
"10123";13;"Femenino";"Público";"Secundaria o Media";"Jueves";3;0
"10124";14;"Masculino";"Público";"Secundaria o Media";"Jueves";2;10
"10125";7;"Femenino";"Público";"Primaria";"Viernes";1;0
"10126";5;"Femenino";"Público";"Primaria";"Viernes";2;0
"10127";12;"Femenino";"Público";"Secundaria o Media";"Sábado";2;0
"10128";8;"Masculino";"Público";"Primaria";"Domingo";2;0
"10129";6;"Masculino";"Público";"Primaria";"Domingo";1;0
"10130";13;"Masculino";"Público";"Secundaria o Media";"Domingo";3;0
"10131";15;"Masculino";"Público";"Secundaria o Media";"Domingo";1;0
"10132";25;"Masculino";"Privado";"Universitario";"Lunes";3;0
"10133";14;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"10134";7;"Femenino";"Público";"Primaria";"Lunes";1;0
"10135";12;"Femenino";"Público";"Secundaria o Media";"Martes";3;0
"10136";8;"Masculino";"Público";"Primaria";"Martes";1;0
"10137";13;"Femenino";"Público";"Secundaria o Media";"Martes";3;0
"10138";16;"Masculino";"Público";"Secundaria o Media";"Martes";5;0
"10139";14;"Femenino";"Público";"Secundaria o Media";"Martes";4;30
"10140";9;"Femenino";"Público";"Primaria";"Martes";1;30
"10141";11;"Masculino";"Público";"Secundaria o Media";"Miércoles";1;0
"10142";10;"Femenino";"Público";"Primaria";"Jueves";3;0
"10143";11;"Masculino";"Público";"Secundaria o Media";"Sábado";2;0
"10144";13;"Femenino";"Público";"Secundaria o Media";"Domingo";2;0
"10145";5;"Masculino";"Público";"Preescolar";"Domingo";1;0
"10146";6;"Masculino";"Privado";"Primaria";"Domingo";0;30
"10147";16;"Femenino";"Público";"Secundaria o Media";"Domingo";2;0
"10148";13;"Femenino";"Público";"Secundaria o Media";"Domingo";1;0
"10149";15;"Femenino";"Público";"Secundaria o Media";"Domingo";1;0
"10150";14;"Femenino";"Privado";"Secundaria o Media";"Lunes";3;0
"10151";14;"Masculino";"Privado";"Secundaria o Media";"Martes";4;30
"10152";13;"Masculino";"Público";"Secundaria o Media";"Miércoles";0;30
"10153";11;"Masculino";"Público";"Secundaria o Media";"Miércoles";0;30
"10154";16;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"10155";20;"Masculino";"Público";"Universitario";"Jueves";2;0
"10156";12;"Masculino";"Público";"Secundaria o Media";"Sábado";3;0
"10157";14;"Femenino";"Privado";"Secundaria o Media";"Sábado";2;0
"10158";16;"Femenino";"Público";"Técnico";"Sábado";4;0
"10159";5;"Femenino";"Público";"Primaria";"Jueves";2;0
"10160";7;"Femenino";"Público";"Primaria";"Viernes";2;0
"10161";14;"Femenino";"Privado";"Secundaria o Media";"Sábado";2;0
"10162";10;"Masculino";"Privado";"Primaria";"Sábado";2;0
"10163";11;"Masculino";"Público";"Secundaria o Media";"Domingo";1;0
"10164";9;"Masculino";"Privado";"Primaria";"Domingo";1;0
"10165";14;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"10166";22;"Femenino";"Privado";"Universitario";"Miércoles";1;0
"10167";25;"Masculino";"Privado";"Universitario";"Martes";1;0
"10168";8;"Femenino";"Público";"Primaria";"Martes";1;0
"10169";6;"Masculino";"Público";"Primaria";"Viernes";2;0
"10170";31;"Masculino";"Público";"Tecnológico";"Sábado";3;0
"10171";15;"Masculino";"Público";"Secundaria o Media";"Sábado";4;0
"10172";8;"Masculino";"Público";"Primaria";"Sábado";2;0
"10173";17;"Femenino";"Privado";"Secundaria o Media";"Lunes";5;30
"10174";13;"Femenino";"Privado";"Secundaria o Media";"Lunes";4;0
"10175";15;"Masculino";"Público";"Secundaria o Media";"Lunes";0;20
"10176";14;"Masculino";"Público";"Secundaria o Media";"Lunes";0;30
"10177";8;"Femenino";"Público";"Primaria";"Lunes";1;0
"10178";6;"Masculino";"Público";"Primaria";"Lunes";1;0
"10179";14;"Femenino";"Privado";"Secundaria o Media";"Jueves";7;0
"10180";21;"Masculino";"Público";"Universitario";"Martes";2;0
"10181";9;"Femenino";"Privado";"Primaria";"Martes";2;0
"10182";5;"Femenino";"Público";"Preescolar";"Martes";1;0
"10183";13;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"10184";11;"Masculino";"Público";"Secundaria o Media";"Lunes";2;0
"10185";15;"Femenino";"Privado";"Secundaria o Media";"Miércoles";3;0
"10186";8;"Femenino";"Privado";"Primaria";"Miércoles";3;0
"10187";16;"Masculino";"Público";"Secundaria o Media";"Miércoles";1;30
"10188";15;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"10189";11;"Masculino";"Público";"Secundaria o Media";"Miércoles";0;45
"10190";7;"Femenino";"Público";"Primaria";"Miércoles";3;0
"10191";11;"Masculino";"Público";"Primaria";"Jueves";3;0
"10192";18;"Masculino";"Privado";"Universitario";"Jueves";6;30
"10193";10;"Femenino";"Privado";"Secundaria o Media";"Viernes";2;0
"10194";18;"Masculino";"Privado";"Universitario";"Lunes";3;0
"10195";17;"Femenino";"Público";"Secundaria o Media";"Martes";2;0
"10196";14;"Masculino";"Público";"Secundaria o Media";"Martes";2;0
"10197";10;"Femenino";"Público";"Secundaria o Media";"Martes";2;0
"10198";25;"Masculino";"Privado";"Universitario";"Lunes";2;0
"10199";7;"Femenino";"Privado";"Primaria";"Miércoles";1;0
"10200";5;"Masculino";"Privado";"Preescolar";"Miércoles";1;0
"10201";14;"Femenino";"Privado";"Secundaria o Media";"Sábado";3;0
"10202";19;"Femenino";"Privado";"Universitario";"Sábado";4;0
"10203";28;"Masculino";"Privado";"Universitario";"Jueves";1;0
"10204";22;"Masculino";"Privado";"Universitario";"Jueves";1;30
"10205";21;"Masculino";"Público";"Universitario";"Jueves";3;0
"10206";6;"Femenino";"Privado";"Primaria";"Martes";2;0
"10207";14;"Masculino";"Privado";"Secundaria o Media";"Martes";2;0
"10208";7;"Femenino";"Privado";"Primaria";"Miércoles";2;0
